bank_tag,perturbation_index,bin_index,bin_replicate,timestep,timestep_bin_start,timestep_bin_end_exclusive,noise_seed
joint_01,0,0,0,22,0,250,3348337790031857477
joint_01,1,0,1,175,0,250,4992375733959073778
joint_01,2,1,0,439,250,500,969493330502300692
joint_01,3,1,1,479,250,500,2783959656742355866
joint_01,4,2,0,655,500,750,3154013018711245080
joint_01,5,2,1,555,500,750,8144142305730748451
joint_01,6,3,0,966,750,1000,7615686174939903386
joint_01,7,3,1,781,750,1000,6977748794514365345
joint_02,0,0,0,221,0,250,5159182010988205163
joint_02,1,0,1,222,0,250,1573526435256607060
joint_02,2,1,0,431,250,500,2828583295767881186
joint_02,3,1,1,491,250,500,5720860785617419112
joint_02,4,2,0,505,500,750,2394777385665792237
joint_02,5,2,1,508,500,750,6157857911448352441
joint_02,6,3,0,879,750,1000,676328275480319948
joint_02,7,3,1,861,750,1000,6397704245317327725
joint_03,0,0,0,245,0,250,3952800443994330575
joint_03,1,0,1,73,0,250,2930026537576466746
joint_03,2,1,0,421,250,500,2219942115266937589
joint_03,3,1,1,493,250,500,4640005649650814481
joint_03,4,2,0,517,500,750,3395426726001215307
joint_03,5,2,1,648,500,750,329115743437526849
joint_03,6,3,0,994,750,1000,1993392683013050735
joint_03,7,3,1,804,750,1000,7942027351607348364
joint_04,0,0,0,27,0,250,2980791901535622136
joint_04,1,0,1,145,0,250,9076875630408058796
joint_04,2,1,0,292,250,500,5314954555041577945
joint_04,3,1,1,384,250,500,5329925518866383044
joint_04,4,2,0,685,500,750,5640967343667163802
joint_04,5,2,1,625,500,750,1315200349096869930
joint_04,6,3,0,785,750,1000,6393502576753090598
joint_04,7,3,1,995,750,1000,3714711218922536191
joint_05,0,0,0,16,0,250,3240862770293234870
joint_05,1,0,1,173,0,250,6621346405085307702
joint_05,2,1,0,487,250,500,7628986310270790286
joint_05,3,1,1,345,250,500,6848157750568038395
joint_05,4,2,0,624,500,750,4893821111657700290
joint_05,5,2,1,613,500,750,1350557402217340537
joint_05,6,3,0,997,750,1000,7850332293085735705
joint_05,7,3,1,959,750,1000,4303893261998380029
