model,method_order,method,method_label,fit_scenario,evaluation_scenario,selection_patient_AUC,CI95_low,CI95_high,selection_patients,selection_members,selection_nonmembers,fit_patient_AUC_descriptive_only
model_1,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",E,E,0.57,0.3849375,0.7475,40,20,20,0.765
model_1,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",E,U,0.5325,0.36,0.71,40,20,20,0.765
model_1,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",U,E,0.5875,0.3999375,0.7625,40,20,20,0.796875
model_1,1,cdi_image_mean_fixed,"CDI image score, mean (C=1)",U,U,0.4475,0.2749375,0.625,40,20,20,0.796875
model_1,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",E,E,0.6125,0.425,0.79,40,20,20,0.7056250000000001
model_1,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",E,U,0.4225,0.255,0.6025,40,20,20,0.7056250000000001
model_1,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",U,E,0.5575000000000001,0.3725,0.7425624999999997,40,20,20,0.7325
model_1,2,cdi_image_mean_tuned,"CDI image score, mean (tuned C)",U,U,0.435,0.2625,0.6100624999999996,40,20,20,0.7325
model_1,3,cdi_image_max_fixed,"CDI image score, max (C=1)",E,E,0.5375,0.34743749999999995,0.715,40,20,20,0.716875
model_1,3,cdi_image_max_fixed,"CDI image score, max (C=1)",E,U,0.54,0.365,0.7175,40,20,20,0.716875
model_1,3,cdi_image_max_fixed,"CDI image score, max (C=1)",U,E,0.58,0.39,0.7525,40,20,20,0.75625
model_1,3,cdi_image_max_fixed,"CDI image score, max (C=1)",U,U,0.42,0.25,0.6025,40,20,20,0.75625
model_1,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",E,E,0.6,0.41243749999999996,0.78,40,20,20,0.68625
model_1,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",E,U,0.47500000000000003,0.3025,0.6525624999999996,40,20,20,0.68625
model_1,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",U,E,0.55,0.36243749999999997,0.7250624999999996,40,20,20,0.744375
model_1,4,cdi_image_max_tuned,"CDI image score, max (tuned C)",U,U,0.43000000000000005,0.2575,0.6075624999999997,40,20,20,0.744375
model_1,5,patient_mean26_fixed,Patient mean26 LR (C=1),E,E,0.5075,0.31,0.69,40,20,20,0.788125
