contrast_type,model,contrast_id,role,a_method,a_fit_scenario,a_evaluation_scenario,b_method,b_fit_scenario,b_evaluation_scenario,selection_delta_AUC,paired_CI95_low,paired_CI95_high
within_cell_contrasts,model_1,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,E,E,cdi_image_mean_tuned,E,E,-0.09499999999999997,-0.19499999999999995,-0.010000000000000009
within_cell_contrasts,model_1,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,E,E,secmi_mean,E,E,0.09000000000000008,-0.15000000000000002,0.3175624999999997
within_cell_contrasts,model_1,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,E,E,cdi_image_mean_fixed,E,E,-0.09249999999999997,-0.25499999999999995,0.07749999999999996
within_cell_contrasts,model_1,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,E,E,secmi_mean,E,E,0.04749999999999999,-0.20756250000000007,0.28006249999999966
within_cell_contrasts,model_1,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,E,E,patient_meanmax52_fixed,E,E,0.08500000000000002,0.0050000000000000044,0.1750624999999997
within_cell_contrasts,model_1,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,E,E,patient_meanmax52_tuned,E,E,-0.01000000000000012,-0.09750000000000003,0.0675
within_cell_contrasts,model_2,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,E,E,cdi_image_mean_tuned,E,E,-0.01750000000000007,-0.09256250000000002,0.05500000000000005
within_cell_contrasts,model_2,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,E,E,secmi_mean,E,E,0.06000000000000005,-0.22250000000000003,0.3575
within_cell_contrasts,model_2,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,E,E,cdi_image_mean_fixed,E,E,-0.012499999999999956,-0.16006250000000002,0.13250000000000006
within_cell_contrasts,model_2,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,E,E,secmi_mean,E,E,0.11499999999999999,-0.16000000000000003,0.40249999999999997
within_cell_contrasts,model_2,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,E,E,patient_meanmax52_fixed,E,E,0.05750000000000011,-0.020000000000000018,0.14500000000000002
within_cell_contrasts,model_2,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,E,E,patient_meanmax52_tuned,E,E,-0.012499999999999956,-0.08499999999999996,0.05499999999999994
within_cell_contrasts,model_1,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,E,U,cdi_image_mean_tuned,E,U,-0.0050000000000000044,-0.07500000000000001,0.06256249999999972
within_cell_contrasts,model_1,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,E,U,secmi_mean,E,U,-0.007500000000000062,-0.28006250000000005,0.2675
within_cell_contrasts,model_1,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,E,U,cdi_image_mean_fixed,E,U,-0.11499999999999999,-0.2675,0.035062499999999636
within_cell_contrasts,model_1,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,E,U,secmi_mean,E,U,0.10249999999999992,-0.14500000000000002,0.34256249999999966
within_cell_contrasts,model_1,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,E,U,patient_meanmax52_fixed,E,U,-0.05499999999999994,-0.18749999999999997,0.0675
within_cell_contrasts,model_1,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,E,U,patient_meanmax52_tuned,E,U,-0.04999999999999999,-0.12256250000000005,0.012500000000000011
within_cell_contrasts,model_2,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,E,U,cdi_image_mean_tuned,E,U,-0.05499999999999999,-0.12,0.012500000000000011
within_cell_contrasts,model_2,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,E,U,secmi_mean,E,U,-0.13499999999999995,-0.33999999999999997,0.05999999999999997
within_cell_contrasts,model_2,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,E,U,cdi_image_mean_fixed,E,U,-0.12500000000000006,-0.26749999999999996,0.03249999999999997
within_cell_contrasts,model_2,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,E,U,secmi_mean,E,U,-0.0749999999999999,-0.3125,0.16256249999999964
within_cell_contrasts,model_2,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,E,U,patient_meanmax52_fixed,E,U,-0.044999999999999984,-0.16249999999999998,0.04749999999999999
within_cell_contrasts,model_2,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,E,U,patient_meanmax52_tuned,E,U,0.03249999999999997,-0.012500000000000011,0.08250000000000002
within_cell_contrasts,model_1,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,E,cdi_image_mean_tuned,U,E,0.0024999999999999467,-0.08999999999999997,0.09250000000000003
within_cell_contrasts,model_1,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,U,E,secmi_mean,U,E,0.03500000000000014,-0.22506250000000003,0.2826249999999994
within_cell_contrasts,model_1,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,U,E,cdi_image_mean_fixed,U,E,-0.08250000000000002,-0.25,0.08249999999999996
within_cell_contrasts,model_1,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,E,secmi_mean,U,E,0.06500000000000006,-0.21499999999999997,0.3225
within_cell_contrasts,model_1,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,E,patient_meanmax52_fixed,U,E,0.0,-0.03499999999999992,0.030000000000000027
within_cell_contrasts,model_1,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,E,patient_meanmax52_tuned,U,E,0.0024999999999999467,-0.02749999999999997,0.02999999999999997
within_cell_contrasts,model_2,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,E,cdi_image_mean_tuned,U,E,0.00500000000000006,-0.14250000000000002,0.15249999999999997
within_cell_contrasts,model_2,primary_cdi_vs_secmi,primary,cdi_image_mean_tuned,U,E,secmi_mean,U,E,-0.010000000000000009,-0.26506250000000003,0.25999999999999995
within_cell_contrasts,model_2,secondary_fixed_patient_structure_vs_image_pool,secondary,patient_meanmax52_fixed,U,E,cdi_image_mean_fixed,U,E,0.01750000000000007,-0.14,0.185
within_cell_contrasts,model_2,secondary_fixed_cdi_vs_secmi,secondary,cdi_image_mean_fixed,U,E,secmi_mean,U,E,-0.010000000000000009,-0.26506250000000003,0.25999999999999995
within_cell_contrasts,model_2,diagnostic_noobjective_fixed,source_quirk_diagnostic,patient_meanmax54_noobjective_fixed,U,E,patient_meanmax52_fixed,U,E,0.02499999999999991,-0.065,0.11750000000000005
within_cell_contrasts,model_2,diagnostic_noobjective_tuned,source_quirk_diagnostic,patient_meanmax54_noobjective_tuned,U,E,patient_meanmax52_tuned,U,E,-0.010000000000000064,-0.10006250000000003,0.08000000000000007
within_cell_contrasts,model_1,primary_patient_structure_vs_image_pool,primary,patient_meanmax52_tuned,U,U,cdi_image_mean_tuned,U,U,0.08250000000000007,-0.012562500000000006,0.18250000000000005
