family,metric,setting,scenario,pool,patient_id,eval_role,assignment_group,treatment,control,delta
generic_t140,negative_MSE_FP32,mean_8,U,mean,14393,fit,A,-0.2605914957821369,-0.26075023226439953,0.0001587364822626114
generic_t140,negative_MSE_FP32,mean_8,U,mean,172,selection,B,-0.3106047064065933,-0.31077468022704124,0.00016997382044792175
generic_t140,negative_MSE_FP32,mean_8,U,mean,359,selection,B,-0.2603570278733969,-0.26070968993008137,0.000352662056684494
generic_t140,negative_MSE_FP32,mean_8,U,mean,1052,selection,B,-0.31070668809115887,-0.31077039055526257,6.370246410369873e-05
generic_t140,negative_MSE_FP32,mean_8,U,mean,1906,selection,A,-0.28594571724534035,-0.2863282524049282,0.0003825351595878601
generic_t140,negative_MSE_FP32,mean_8,U,mean,2032,selection,B,-0.2882882747799158,-0.2883411478251219,5.2873045206069946e-05
generic_t140,negative_MSE_FP32,mean_8,U,mean,2247,selection,B,-0.26738191675394773,-0.26755622401833534,0.00017430726438760757
generic_t140,negative_MSE_FP32,mean_8,U,mean,2359,selection,A,-0.32096671871840954,-0.32055419869720936,-0.00041252002120018005
generic_t140,negative_MSE_FP32,mean_8,U,mean,3308,selection,B,-0.2344041522592306,-0.23433266952633858,-7.148273289203644e-05
generic_t140,negative_MSE_FP32,mean_8,U,mean,3832,selection,A,-0.2963747177273035,-0.2964276820421219,5.296431481838226e-05
generic_t140,negative_MSE_FP32,mean_8,U,mean,4092,selection,A,-0.290375042706728,-0.29019439965486526,-0.00018064305186271667
generic_t140,negative_MSE_FP32,mean_8,U,mean,4992,selection,B,-0.298031996935606,-0.2984910812228918,0.00045908428728580475
generic_t140,negative_MSE_FP32,mean_8,U,mean,5376,selection,B,-0.24718529731035233,-0.24738101195544004,0.00019571464508771896
generic_t140,negative_MSE_FP32,mean_8,U,mean,5722,selection,A,-0.2886084318161011,-0.2894225940108299,0.0008141621947288513
generic_t140,negative_MSE_FP32,mean_8,U,mean,6881,selection,A,-0.2839403450489044,-0.2844750080257654,0.0005346629768610001
generic_t140,negative_MSE_FP32,mean_8,U,mean,6985,selection,B,-0.282775541767478,-0.2836160007864237,0.000840459018945694
generic_t140,negative_MSE_FP32,mean_8,U,mean,7932,selection,B,-0.2913498468697071,-0.29201433062553406,0.0006644837558269501
generic_t140,negative_MSE_FP32,mean_8,U,mean,8168,selection,A,-0.3254580534994602,-0.32589961029589176,0.00044155679643154144
