scenario,model,prompt,score_type,selection_AUC,fit_AUC_descriptive_only,fp64_saved_prediction_residual_AUC,GPU_MSE_vs_FP64_residual_AUC_delta,GPU_MSE_vs_FP64_residual_pair_credit_mismatches,selection_statistical_units,base_assignment_only,CI95_lower,CI95_upper,role,label_semantics
E,model_1,null,negative_target_loss,0.37,0.514375,0.37,0.0,0,40,False,0.21,0.55,selection,incremental_patient_membership
E,model_1,null,base_minus_target_loss,0.5125,0.47812499999999997,0.5125,0.0,0,40,False,0.3325,0.695,selection,incremental_patient_membership
E,model_1,generic,negative_target_loss,0.385,0.5318750000000001,0.385,0.0,0,40,False,0.2175,0.5725,selection,incremental_patient_membership
E,model_1,generic,base_minus_target_loss,0.5175,0.511875,0.5175,0.0,0,40,False,0.3375,0.6975,selection,incremental_patient_membership
E,model_1,weak_label,negative_target_loss,0.3825,0.5331250000000001,0.3825,0.0,0,40,False,0.2175,0.5675624999999996,selection,incremental_patient_membership
E,model_1,weak_label,base_minus_target_loss,0.535,0.515625,0.535,0.0,0,40,False,0.3525,0.7175624999999997,selection,incremental_patient_membership
E,model_2,null,negative_target_loss,0.635,0.48875,0.635,0.0,0,40,False,0.4574375,0.795,selection,incremental_patient_membership
E,model_2,null,base_minus_target_loss,0.4825,0.5275,0.4825,0.0,0,40,False,0.3,0.6625,selection,incremental_patient_membership
E,model_2,generic,negative_target_loss,0.62,0.48125000000000007,0.62,0.0,0,40,False,0.435,0.7825624999999996,selection,incremental_patient_membership
E,model_2,generic,base_minus_target_loss,0.495,0.50625,0.495,0.0,0,40,False,0.31,0.6750624999999997,selection,incremental_patient_membership
E,model_2,weak_label,negative_target_loss,0.62,0.48125,0.62,0.0,0,40,False,0.435,0.785,selection,incremental_patient_membership
E,model_2,weak_label,base_minus_target_loss,0.49,0.496875,0.49,0.0,0,40,False,0.3075,0.67,selection,incremental_patient_membership
E,base,null,negative_base_loss_A_assignment,0.3975,0.519375,0.3975,0.0,0,40,True,0.225,0.575,selection,A_vs_B_assignment_only
E,base,generic,negative_base_loss_A_assignment,0.395,0.52125,0.395,0.0,0,40,True,0.22,0.5825,selection,A_vs_B_assignment_only
E,base,weak_label,negative_base_loss_A_assignment,0.3975,0.518125,0.3975,0.0,0,40,True,0.2249375,0.5825,selection,A_vs_B_assignment_only
U,model_1,null,negative_target_loss,0.46,0.5493750000000001,0.46,0.0,0,40,False,0.28,0.6325624999999996,selection,incremental_patient_membership
U,model_1,null,base_minus_target_loss,0.48,0.47125000000000006,0.48,0.0,0,40,False,0.3,0.6725,selection,incremental_patient_membership
U,model_1,generic,negative_target_loss,0.4725,0.54875,0.4725,0.0,0,40,False,0.2925,0.65,selection,incremental_patient_membership
U,model_1,generic,base_minus_target_loss,0.4925,0.45125000000000004,0.4925,0.0,0,40,False,0.3,0.685,selection,incremental_patient_membership
U,model_1,weak_label,negative_target_loss,0.48,0.545625,0.48,0.0,0,40,False,0.29993749999999997,0.6575624999999996,selection,incremental_patient_membership
U,model_1,weak_label,base_minus_target_loss,0.51,0.428125,0.51,0.0,0,40,False,0.3224375,0.6975624999999996,selection,incremental_patient_membership
U,model_2,null,negative_target_loss,0.5425,0.45437500000000003,0.5425,0.0,0,40,False,0.3725,0.72,selection,incremental_patient_membership
U,model_2,null,base_minus_target_loss,0.535,0.526875,0.535,0.0,0,40,False,0.3399375,0.7175,selection,incremental_patient_membership
U,model_2,generic,negative_target_loss,0.54,0.459375,0.54,0.0,0,40,False,0.36493749999999997,0.7225624999999997,selection,incremental_patient_membership
U,model_2,generic,base_minus_target_loss,0.525,0.558125,0.525,0.0,0,40,False,0.3375,0.71,selection,incremental_patient_membership
U,model_2,weak_label,negative_target_loss,0.5375,0.464375,0.5375,0.0,0,40,False,0.35993749999999997,0.7175,selection,incremental_patient_membership
U,model_2,weak_label,base_minus_target_loss,0.51,0.585625,0.51,0.0,0,40,False,0.32,0.7000624999999996,selection,incremental_patient_membership
U,base,null,negative_base_loss_A_assignment,0.5,0.5487500000000001,0.5,0.0,0,40,True,0.315,0.6775624999999996,selection,A_vs_B_assignment_only
U,base,generic,negative_base_loss_A_assignment,0.4875,0.548125,0.4875,0.0,0,40,True,0.3075,0.6675,selection,A_vs_B_assignment_only
U,base,weak_label,negative_base_loss_A_assignment,0.48,0.5493750000000001,0.48,0.0,0,40,True,0.3,0.655,selection,A_vs_B_assignment_only
