scenario,model,score_type,a,b,delta_AUC,paired_CI95_lower,paired_CI95_upper,CI_contains_zero
E,model_1,negative_target_loss,weak_label,null,0.012500000000000011,-0.030062500000000023,0.05499999999999999,True
E,model_1,negative_target_loss,generic,null,0.015000000000000013,-0.027499999999999997,0.057499999999999996,True
E,model_1,negative_target_loss,weak_label,generic,-0.0025000000000000022,-0.017500000000000016,0.010000000000000009,True
E,model_1,base_minus_target_loss,weak_label,null,0.022500000000000075,-0.07506250000000006,0.11756249999999971,True
E,model_1,base_minus_target_loss,generic,null,0.0050000000000000044,-0.08500000000000002,0.09000000000000002,True
E,model_1,base_minus_target_loss,weak_label,generic,0.01750000000000007,-0.025000000000000022,0.0625,True
E,model_2,negative_target_loss,weak_label,null,-0.015000000000000013,-0.06500000000000006,0.03749999999999998,True
E,model_2,negative_target_loss,generic,null,-0.015000000000000013,-0.06499999999999995,0.03499999999999992,True
E,model_2,negative_target_loss,weak_label,generic,0.0,-0.010000000000000009,0.014999999999999902,True
E,model_2,base_minus_target_loss,weak_label,null,0.007500000000000007,-0.08250000000000002,0.1050624999999997,True
E,model_2,base_minus_target_loss,generic,null,0.012500000000000011,-0.07999999999999996,0.1100624999999997,True
E,model_2,base_minus_target_loss,weak_label,generic,-0.0050000000000000044,-0.040000000000000036,0.02749999999999997,True
U,model_1,negative_target_loss,weak_label,null,0.019999999999999962,-0.027500000000000024,0.07250000000000001,True
U,model_1,negative_target_loss,generic,null,0.012499999999999956,-0.030000000000000027,0.0625,True
U,model_1,negative_target_loss,weak_label,generic,0.007500000000000007,-0.015000000000000013,0.03249999999999997,True
U,model_1,base_minus_target_loss,weak_label,null,0.030000000000000027,-0.06999999999999995,0.12750000000000006,True
U,model_1,base_minus_target_loss,generic,null,0.012500000000000011,-0.07250000000000001,0.10249999999999998,True
U,model_1,base_minus_target_loss,weak_label,generic,0.017500000000000016,-0.03750000000000003,0.07250000000000001,True
U,model_2,negative_target_loss,weak_label,null,-0.0050000000000000044,-0.05499999999999994,0.03999999999999998,True
U,model_2,negative_target_loss,generic,null,-0.0024999999999999467,-0.04999999999999993,0.03750000000000003,True
U,model_2,negative_target_loss,weak_label,generic,-0.0025000000000000577,-0.022500000000000075,0.015000000000000013,True
U,model_2,base_minus_target_loss,weak_label,null,-0.025000000000000022,-0.12,0.07999999999999996,True
U,model_2,base_minus_target_loss,generic,null,-0.010000000000000009,-0.09999999999999998,0.08256249999999973,True
U,model_2,base_minus_target_loss,weak_label,generic,-0.015000000000000013,-0.07249999999999995,0.03249999999999997,True
