arm,seed,source,images,positives,AUROC,AP,BCE,balanced_BCE
R1,11,real/public,807,6,1.0,1.0,0.00021975384595704516,0.0001297232790674347
R1,11,method_development,5047,223,0.568314537179573,0.05507428921422003,0.37165142896176295,4.200710032136307
R1,23,real/public,809,6,1.0,1.0,6.589687056839234e-05,7.03374104636234e-05
R1,23,method_development,5047,223,0.5565520677628301,0.053881431506855704,0.4319371760733262,4.886856362313431
R1,37,real/public,810,6,1.0,1.0,6.801286305871106e-05,8.214998587037157e-05
R1,37,method_development,5047,223,0.5089621027894905,0.046052117570254895,0.4504103068014323,5.0954801576342
Dreal,11,real/private,320,33,1.0,1.0,0.0004363922738308308,0.0002837243379660446
Dreal,11,real/public,788,6,1.0,1.0,0.0008608835236300405,0.0004544623299320483
Dreal,11,method_development,5047,223,0.6335396076419101,0.0861805716073405,0.31133450135339796,3.451464053139631
Dreal,23,real/private,320,33,1.0,1.0,0.007941073303500136,0.005755112865471244
Dreal,23,real/public,778,6,1.0,1.0,0.002247041820993716,0.0016376253872924362
Dreal,23,method_development,5047,223,0.545057318043564,0.058991366213938294,0.39683470638743423,4.417519268313248
Dreal,37,real/private,320,33,1.0,1.0,0.00021376955007181876,0.0003188685511566075
Dreal,37,real/public,783,6,1.0,1.0,0.00034872220189301965,0.00022450814168200754
Dreal,37,method_development,5047,223,0.6099203162067094,0.09016395418492296,0.36503750402304824,4.090072319704737
L_public,11,real/public,788,6,1.0,1.0,0.0027445985571874685,0.0014067871106609882
L_public,11,synthetic/lora_public,128,64,1.0,1.0,0.041664989349031525,0.041664989349031525
L_public,11,method_development,5047,223,0.5762285359450877,0.05324562854752987,0.31644505436274867,3.4863027164434652
L_public,23,real/public,778,6,1.0,1.0,0.0012172783680450884,0.0006818703200322878
L_public,23,synthetic/lora_public,128,64,1.0,1.0,0.00499865929338476,0.00499865929338476
L_public,23,method_development,5047,223,0.5568695201124423,0.05467675714113477,0.3413806612614994,3.802876825818615
L_public,37,real/public,783,6,1.0,1.0,0.0010586143961278907,0.0006598755441393942
L_public,37,synthetic/lora_public,128,64,1.0,1.0,0.003067159087097324,0.003067159087097324
L_public,37,method_development,5047,223,0.5416048494448534,0.0496217926210553,0.3509309972567145,3.946127666023139
L_pooled,11,real/public,788,6,1.0,1.0,0.00223706653754721,0.001163280624114391
L_pooled,11,synthetic/lora_pooled,128,64,1.0,1.0,0.0005926253552857364,0.0005926253552857364
L_pooled,11,method_development,5047,223,0.5486831537380363,0.05453341605595499,0.32751675449100154,3.680636559974744
L_pooled,23,real/public,778,6,1.0,1.0,0.00047557176358269956,0.00035459207052319767
L_pooled,23,synthetic/lora_pooled,128,64,1.0,1.0,0.0005738716252494049,0.0005738716252494049
L_pooled,23,method_development,5047,223,0.5163680848373974,0.047553199901424315,0.3800975982297816,4.290967299932936
L_pooled,37,real/public,783,6,1.0,1.0,0.0009967654964115108,0.0007490545998826913
L_pooled,37,synthetic/lora_pooled,128,64,0.9990234375,0.9990808823529411,0.0379761473766041,0.0379761473766041
L_pooled,37,method_development,5047,223,0.5657103124140137,0.05506510510841377,0.3447089501984853,3.8719927052276715
