patient_id,step,Emean_score_A_minus_B,U_score_A_minus_B,Emean_linear_prediction,U_linear_prediction,E_U_raw_sign_opposition,clipped_A_B_cosine,delta_A_B_norm
19787,250,-1.5883578238995745e-05,5.629895400261315e-07,-1.5921507547612166e-05,7.005392431792556e-07,True,0.9975309726080956,0.000662225313582117
21195,250,-1.1799116174242776e-05,-7.660856575063181e-07,-1.1952428586103339e-05,-8.436825426696973e-07,False,0.9952326042935039,0.0005549857840938039
19093,250,-1.8420566356646853e-05,-2.2176734032619197e-06,-1.8383863073272505e-05,-2.216762478686758e-06,False,0.9974029138913449,0.0007076911881065356
26282,250,-1.852759579230592e-05,-5.617913926313239e-06,-1.8543594052870834e-05,-5.551633929750205e-06,False,0.9984215196411023,0.0007564309896844624
28849,250,-1.2682903650674103e-05,-7.709526039765482e-06,-1.2726315712701965e-05,-7.588334272288344e-06,False,0.9895714803737335,0.0006514775834801764
25264,250,-3.305609406113806e-05,-5.527572859488955e-06,-3.352313343509945e-05,-5.606183959215484e-06,False,0.9899242546586652,0.0006822112353653566
688,250,-2.4881601150780005e-05,-3.3417668576867153e-07,-2.5389276700267415e-05,1.304457986070581e-08,False,0.9514713151833533,0.0009036648091518012
15254,250,-1.8550069383788883e-05,-1.8174684210987273e-06,-1.8488746392181524e-05,-1.7874589692073003e-06,False,0.9941206080350161,0.0007577816006478615
19787,1000,-1.2980372147159114e-05,1.089345436372716e-06,-1.2734685243432789e-05,1.0821330607823462e-06,True,0.9970235536357205,0.00047188445294266205
21195,1000,-1.5599882668044965e-05,1.7647905617251688e-06,-1.545015023607193e-05,1.7422267713008507e-06,True,0.9899329523187732,0.0006616940764986907
19093,1000,-1.5157692044971084e-05,-3.1457928444785074e-06,-1.5805048824554732e-05,-1.5135379390924296e-06,False,0.9983659769727266,0.0006133760838965575
26282,1000,-1.8529307751366917e-05,-3.9905760637713155e-06,-1.888303479447912e-05,-4.0082419586764845e-06,False,0.9994551536137765,0.0005218732251703867
28849,1000,-1.541116928219529e-05,-6.552762891202009e-06,-1.5165157616789284e-05,-6.572359089780753e-06,False,0.9827451396036542,0.0006364902572349546
25264,1000,-2.479057000135209e-05,-7.608614494896183e-06,-2.2827477038663806e-05,-7.111296983422621e-06,False,0.9991500756012208,0.0005111881797117952
688,1000,-2.055235139873353e-05,-7.396337032426151e-06,-2.1557043772532393e-05,-8.139944536685419e-06,False,0.9741686393694168,0.0006593333630048709
15254,1000,-2.5246313423875414e-05,-2.0797883980682594e-06,-2.585912859010947e-05,-2.0247226329710824e-06,False,0.9735926232240211,0.0008557029465029374
