family,method,budget,delta_mse,mc_95_low,mc_95_high,test_cost_difference
F1_exact_discrete_outside,raw_B4,4,0.0008954018397807738,0.0008887873634693092,0.0009020163160922384,-0.003021240234375
F1_exact_discrete_outside,geometry_B4,4,0.00042552671911921087,0.0004166158723734488,0.0004344375658649729,0.0076904296875
F1_exact_discrete_outside,raw_B8,8,0.0006067606635426064,0.000598373604786786,0.0006151477222984268,9.1552734375e-05
F1_exact_discrete_outside,geometry_B8,8,0.00045418419524775573,0.0004442756052421389,0.00046409278525337257,0.0335693359375
F1_exact_discrete_outside,raw_B16,16,0.00052914462235434,0.0005198348150722756,0.0005384544296364044,0.008270263671875
F1_exact_discrete_outside,geometry_B16,16,0.00045685849417835306,0.00044701040369104334,0.0004667065846656628,0.0389404296875
F2_gaussian_outside_heterogeneous,raw_B4,4,0.001211424178200955,0.0011208224264285774,0.0013020259299733328,0.031768798828125
F2_gaussian_outside_heterogeneous,geometry_B4,4,0.0012048513743151998,0.0010688651425026507,0.0013408376061277488,0.044708251953125
F2_gaussian_outside_heterogeneous,raw_B8,8,0.00045488547155717637,0.0003971970700921719,0.0005125738730221808,0.043060302734375
F2_gaussian_outside_heterogeneous,geometry_B8,8,0.0006329792179725084,0.0004971141031174394,0.0007688443328275774,0.015289306640625
F2_gaussian_outside_heterogeneous,raw_B16,16,5.2886578398237666e-05,2.8482194025194795e-05,7.729096277128053e-05,0.004150390625
F2_gaussian_outside_heterogeneous,geometry_B16,16,0.000600779772051574,0.00046491333639854635,0.0007366462077046017,0.014923095703125
F3_inside_heterogeneous,raw_B4,4,0.01918997295727492,0.018906584921719583,0.019473360992830254,0.00982666015625
F3_inside_heterogeneous,geometry_B4,4,0.01918997295727492,0.018906584921719583,0.019473360992830254,0.00982666015625
F3_inside_heterogeneous,raw_B8,8,-9.645338962309866e-05,-0.0001554333377312584,-3.747344151493891e-05,0.009063720703125
F3_inside_heterogeneous,geometry_B8,8,-9.647515337633838e-05,-0.00015545526541069194,-3.749504134198481e-05,0.009185791015625
F3_inside_heterogeneous,raw_B16,16,0.00015579370978650165,0.0001529770943347875,0.00015861032523821578,0.00390625
F3_inside_heterogeneous,geometry_B16,16,0.00015579370978650165,0.0001529770943347875,0.00015861032523821578,0.00390625
F4_boundary_heterogeneous,raw_B4,4,0.021217908223630188,0.019998101413337976,0.0224377150339224,0.0086669921875
F4_boundary_heterogeneous,geometry_B4,4,0.022959832471298396,0.021667205566236962,0.02425245937635983,0.01361083984375
F4_boundary_heterogeneous,raw_B8,8,0.007616417310760923,0.006877366401010167,0.00835546822051168,0.0079345703125
F4_boundary_heterogeneous,geometry_B8,8,0.013902408741122984,0.012810100892503447,0.01499471658974252,0.0184326171875
F4_boundary_heterogeneous,raw_B16,16,0.00247461101049197,0.002114009899076436,0.0028352121219075038,-0.0458984375
F4_boundary_heterogeneous,geometry_B16,16,0.012021817311882638,0.011022473860217017,0.01302116076354826,-0.022735595703125
F5_outside_homogeneous,raw_B4,4,0.005626269428477917,0.0055967990549261526,0.005655739802029681,0.003265380859375
F5_outside_homogeneous,geometry_B4,4,0.005610838401819584,0.005581911776913903,0.005639765026725264,0.002960205078125
F5_outside_homogeneous,raw_B8,8,0.0014194496044789523,0.0014016238515751093,0.0014372753573827952,-0.0262451171875
F5_outside_homogeneous,geometry_B8,8,0.0014088065561080412,0.0013909287824915215,0.001426684329724561,-0.0032958984375
F5_outside_homogeneous,raw_B16,16,0.000357760403488286,0.00035038570950469224,0.0003651350974718798,-0.03857421875
F5_outside_homogeneous,geometry_B16,16,0.00034634699698395696,0.00033905145250469093,0.000353642541463223,0.015625
F6_correlated_plane_outside,raw_B4,4,0.01306581196862279,0.012624417420691904,0.013507206516553676,0.012847900390625
F6_correlated_plane_outside,geometry_B4,4,0.01360566116684319,0.013149037400224318,0.014062284933462062,0.047149658203125
F6_correlated_plane_outside,raw_B8,8,0.006171568316764372,0.005885770257898368,0.006457366375630377,-0.018280029296875
F6_correlated_plane_outside,geometry_B8,8,0.004595061873052194,0.004327800501911052,0.004862323244193336,0.065216064453125
F6_correlated_plane_outside,raw_B16,16,0.0010400836625669041,0.0009488578726531802,0.001131309452480628,-0.048431396484375
F6_correlated_plane_outside,geometry_B16,16,0.0006114695843656886,0.0005352696690057641,0.000687669499725613,0.014678955078125
F7_large_noise_high_dimension,raw_B4,4,0.2602173793396768,0.25931736815849343,0.2611173905208602,0.0008544921875
F7_large_noise_high_dimension,geometry_B4,4,0.2602173793396768,0.25931736815849343,0.2611173905208602,0.0008544921875
F7_large_noise_high_dimension,raw_B8,8,0.11235169940977147,0.11107845626421457,0.11362494255532836,-0.0518798828125
F7_large_noise_high_dimension,geometry_B8,8,0.11235169940977147,0.11107845626421457,0.11362494255532836,-0.0518798828125
F7_large_noise_high_dimension,raw_B16,16,0.04000271092918835,0.039233396627329956,0.04077202523104674,-0.053466796875
F7_large_noise_high_dimension,geometry_B16,16,0.04000271092918835,0.039233396627329956,0.04077202523104674,-0.053466796875
