law,graph,algorithm,replicates,decisions,correct_decisions,wrong_decisions,abstentions,decision_rate,mean_cost_including_abstention,mean_cost_correct_only,median_cost_correct_only,mean_null_cost,mean_member_cost,band_coverage_failures
member_bottleneck,no_sharing,uniform,64,64,64,0,0,1.0,23260.0,23260.0,24832.0,12686.0,10574.0,0
member_bottleneck,no_sharing,maximin_width_shared_cost_adaptation,64,53,53,0,11,0.828125,60416.0,52207.09433962264,22016.0,11452.0,48964.0,0
member_bottleneck,no_sharing,batched_v0,64,52,52,0,12,0.8125,60272.0,51111.38461538462,44032.0,10862.0,49410.0,0
member_bottleneck,nested_sharing,uniform,64,64,64,0,0,1.0,17748.0,17748.0,18944.0,9666.0,8082.0,0
member_bottleneck,nested_sharing,maximin_width_shared_cost_adaptation,64,64,64,0,0,1.0,47008.0,47008.0,69504.0,9272.0,37736.0,0
member_bottleneck,nested_sharing,batched_v0,64,64,64,0,0,1.0,52774.0,52774.0,43008.0,9286.0,43488.0,0
null_bottleneck,no_sharing,uniform,64,30,30,0,34,0.46875,85038.0,68117.33333333333,67968.0,43056.0,41982.0,0
null_bottleneck,no_sharing,maximin_width_shared_cost_adaptation,64,11,11,0,53,0.171875,97816.0,87447.27272727272,83840.0,24352.0,73464.0,0
null_bottleneck,no_sharing,batched_v0,64,1,1,0,63,0.015625,99728.0,84608.0,84608.0,20212.0,79516.0,0
null_bottleneck,nested_sharing,uniform,64,38,38,0,26,0.59375,75934.0,59489.68421052631,55936.0,38474.0,37460.0,0
null_bottleneck,nested_sharing,maximin_width_shared_cost_adaptation,64,37,37,0,27,0.578125,90704.0,83943.78378378379,88192.0,28606.0,62098.0,0
null_bottleneck,nested_sharing,batched_v0,64,22,22,0,42,0.34375,96756.0,90624.0,92096.0,32180.0,64576.0,0
